Name,Phone,Email,Address,Property Type,Property Size,Cleaning Need,Budget,Inquiry Date,Lead Score,Hot Lead,Notes
"Dorothy Davis","(347) 881-7276","dorothydavis72@aol.com","3662 Avenue J, Brooklyn, New York 11205","House","2 bedroom apartment (~1000 sq ft)","Regular weekly cleaning","$200-$250","2025-04-14",90,Yes,"Wants green/eco-friendly products. No previous cleaning service experience."
"George Carter","(347) 130-6523","georgecarter93@outlook.com","6677 Avenue J, Condo 145, Brooklyn, New York 11229","Condo","3 bedroom condo (~1500 sq ft)","Weekend cleaning","$200-$250","2025-04-19",39,No,"Prospect is looking for weekend cleaning. Wants green/eco-friendly products."
"Michelle Walker","(347) 111-7264","michellewalker19@aol.com","2426 Atlantic Avenue, Condo 29, Brooklyn, New York 11226","Condo","3 bedroom house (~1800 sq ft)","Monthly deep cleaning","$250-$300","2025-05-04",63,No,"Booking for a family member/elderly parent. Prospect is looking for monthly deep cleaning. Mentioned they have children. Has pets (cats)."
"Richard Parker","(929) 723-1417","richardparker40@hotmail.com","8877 Nostrand Avenue, Apartment 309, Brooklyn, New York 11217","Apartment","4+ bedroom house (2500+ sq ft)","Bi-weekly cleaning service","$150-$200","2025-04-19",58,No,"No previous cleaning service experience. Booking for a family member/elderly parent. Referred by another customer."
"Sandra Baker","(347) 339-4939","sandrabaker6@hotmail.com","3436 Coney Island Avenue, Condo 499, Brooklyn, New York 11233","Condo","3 bedroom house (~1800 sq ft)","Weekend cleaning","$250-$300","2025-05-07",63,No,"Flexible schedule. Has pets. Referred by another customer."
"Mary Martin","(929) 619-6255","marymartin1@yahoo.com","1330 Avenue J, Townhouse 109, Brooklyn, New York 11210","Townhouse","3 bedroom house (~1800 sq ft)","Weekend cleaning","Under $100","2025-04-16",30,No,"Wants green/eco-friendly products. Works from home."
"Amanda Evans","(718) 659-4242","amandaevans29@gmail.com","1151 Avenue U, Condo 431, Brooklyn, New York 11218","Condo","4+ bedroom house (2500+ sq ft)","One-time move-out cleaning","$400+","2025-05-04",19,No,"Has a condo in Brooklyn. Recently renovated, needs deep cleaning."
"Patricia Baker","(718) 604-7266","patriciabaker41@gmail.com","4558 Fourth Avenue, Condo 423, Brooklyn, New York 11203","Condo","2 bedroom apartment (~1000 sq ft)","Post-renovation cleaning","$400+","2025-04-16",67,No,"Prefers weekends. Has pets (dogs). Works from home."
"Daniel Williams","(347) 508-7122","danielwilliams41@icloud.com","8905 Avenue J, Brooklyn, New York 11216","House","2 bedroom house (~1200 sq ft)","One-time move-out cleaning","$200-$250","2025-05-02",80,Yes,"Very particular about cleaning standards. Flexible schedule. Daniel is looking for one-time move-out cleaning."
"Susan Moore","(718) 848-6344","susanmoore19@aol.com","5147 Ocean Parkway, Condo 54, Brooklyn, New York 11203","Condo","4 bedroom house (~2200 sq ft)","One-time move-in cleaning","$100-$150","2025-04-29",93,Yes,"Flexible schedule. Referred by another customer. Recently renovated, needs deep cleaning."
