Name,Job Title,Phone,Email,Address,Property Type,Property Size,Cleaning Need,Budget,Inquiry Date,Lead Score,Hot Lead,Notes
"Steven Scott","Property Manager","(954) 403-5967","stevenscott43@gmail.com","1102 Collins Avenue, Miami, FL 33166","House","1 bedroom apartment (~750 sq ft)","Eco-friendly cleaning only","$200-$250","2025-04-29",70,No,"Referred by another customer. Specific areas need extra attention. Mentioned they have children."
"Emily Flores","Nutritionist","(305) 185-6307","emilyflores90@icloud.com","3769 Collins Avenue, Miami, FL 33194","House","4 bedroom house (~2200 sq ft)","One-time move-in cleaning","Under $100","2025-05-08",86,Yes,"Recently renovated, needs deep cleaning. Mentioned they have children."
"Daniel Perez","Education Specialist","(305) 331-3020","danielperez87@aol.com","7506 Lincoln Road, Miami, FL 33154","House","4 bedroom house (~2200 sq ft)","One-time move-in cleaning","$250-$300","2025-05-03",19,No,"Recently renovated, needs deep cleaning. Referred by another customer. Flexible schedule."
"James Johnson","Teaching Assistant","(786) 290-2115","jamesjohnson16@aol.com","8117 Miracle Mile, Condo 399, Miami, FL 33194","Condo","4 bedroom house (~2200 sq ft)","Evening cleaning service preferred","$300-$400","2025-05-02",68,No,"Previous cleaning service was unsatisfactory. References available. Prefers weekends only."
"James Campbell","Executive Assistant","(305) 961-7398","jamescampbell30@hotmail.com","3470 Coral Way, Studio 152, Miami, FL 33178","Studio","2 bedroom apartment (~1000 sq ft)","Evening cleaning service preferred","$250-$300","2025-05-09",39,No,"Specific areas need extra attention. Worried about price."
"John Robinson","Nurse","(786) 791-9776","johnrobinson15@gmail.com","1766 Biscayne Boulevard, Miami, FL 33140","House","3 bedroom house (~1800 sq ft)","Eco-friendly cleaning only","$200-$250","2025-04-16",20,No,"Booking for a family member/elderly parent. Specific areas need extra attention. Works from home as a Nurse. Found us through Google search."
"Michelle Harris","Engineer","(305) 230-7849","michelleharris76@gmail.com","2999 NW 36th Street, Apartment 380, Miami, FL 33186","Apartment","Studio apartment (~500 sq ft)","Same-day emergency cleaning","Under $100","2025-04-16",52,No,"Specific areas need extra attention. Works from home as a Engineer. Referred by another customer. Worried about price."
"Andrew Walker","Scheduling Coordinator","(786) 832-3799","andrewwalker26@aol.com","4194 Alton Road, Condo 411, Miami, FL 33167","Condo","1 bedroom apartment (~750 sq ft)","Bi-weekly cleaning service","$300-$400","2025-05-03",93,Yes,"Previous cleaning service was unsatisfactory. Wants green/eco-friendly products. Found us through Google search."
"Sandra Moore","Financial Advisor","(954) 186-6145","sandramoore22@aol.com","9252 Collins Avenue, Townhouse 85, Miami, FL 33145","Townhouse","Studio apartment (~500 sq ft)","Evening cleaning service preferred","$400+","2025-04-14",89,Yes,"Mentioned they have children. Recently renovated, needs deep cleaning."
"Sharon Allen","Machinist","(954) 984-9488","sharonallen13@gmail.com","9590 NW 7th Avenue, Condo 92, Miami, FL 33180","Condo","4 bedroom house (~2200 sq ft)","Regular weekly cleaning","$400+","2025-04-15",42,No,"Very particular about cleaning standards. Has allergies, needs special products."
"Nancy Perez","Appliance Repair Technician","(786) 477-4387","nancyperez56@gmail.com","9513 NE 2nd Avenue, Townhouse 50, Miami, FL 33190","Townhouse","4+ bedroom house (2500+ sq ft)","One-time move-out cleaning","Under $100","2025-05-10",19,No,"Has a townhouse. Found us through Google search. Very particular about cleaning standards."
"Jennifer Wilson","Flight Attendant","(786) 152-8020","jenniferwilson69@gmail.com","1329 Lincoln Road, Townhouse 449, Miami, FL 33138","Townhouse","1 bedroom apartment (~750 sq ft)","Eco-friendly cleaning only","$200-$250","2025-04-13",40,No,"Recently renovated, needs deep cleaning. Previous cleaning service was unsatisfactory."
"Daniel Carter","Veterinarian","(954) 705-9491","danielcarter97@icloud.com","4034 SW 22nd Avenue, Townhouse 406, Miami, FL 33193","Townhouse","2 bedroom apartment (~1000 sq ft)","Bi-weekly cleaning service","$100-$150","2025-04-29",78,Yes,"Recently renovated, needs deep cleaning. Needs service ASAP. Has a townhouse. Specific areas need extra attention."
"David Perez","Sales Associate","(954) 275-4135","davidperez72@aol.com","1608 Washington Avenue, Miami, FL 33129","House","4+ bedroom house (2500+ sq ft)","Bi-weekly cleaning service","$300-$400","2025-04-13",73,Yes,"Prospect is a Sales Associate looking for bi-weekly cleaning service. Previous cleaning service was unsatisfactory."
"Kenneth Moore","Mobile App Developer","(786) 378-7662","kennethmoore6@hotmail.com","2884 Lincoln Road, Townhouse 90, Miami, FL 33154","Townhouse","3 bedroom house (~1800 sq ft)","Weekend availability needed","$300-$400","2025-05-09",97,Yes,"Works from home as a Mobile App Developer. Prospect is a Mobile App Developer looking for weekend availability needed."
"Joseph Wright","Flight Attendant","(305) 321-5054","josephwright89@icloud.com","5778 Coral Way, Apartment 150, Miami, FL 33161","Apartment","2 bedroom apartment (~1000 sq ft)","Needs allergy-friendly products","$100-$150","2025-05-02",81,Yes,"Has a apartment. Works long hours due to Flight Attendant responsibilities. Booking for a family member/elderly parent."
"Ronald Scott","School Psychologist","(305) 315-2024","ronaldscott28@hotmail.com","4468 SW 22nd Avenue, Townhouse 365, Miami, FL 33158","Townhouse","4 bedroom house (~2200 sq ft)","Post-renovation cleaning","Under $100","2025-04-29",52,No,"Flexible schedule. Worried about price. No previous cleaning service experience. Recently renovated, needs deep cleaning."
"Karen Turner","MBA Student","(954) 380-9231","karenturner33@outlook.com","4409 Lincoln Road, Townhouse 187, Miami, FL 33160","Townhouse","2 bedroom house (~1200 sq ft)","Bi-weekly cleaning service","Under $100","2025-04-11",77,Yes,"Prefers weekends only. Has allergies, needs special products. Previous cleaning service was unsatisfactory. Worried about price."
"Rebecca Miller","Dental Hygienist","(786) 483-2101","rebeccamiller64@hotmail.com","6232 NW 36th Street, Apartment 32, Miami, FL 33132","Apartment","3 bedroom condo (~1500 sq ft)","Monthly deep cleaning","$150-$200","2025-04-28",88,Yes,"Very particular about cleaning standards. No previous cleaning service experience. Flexible schedule."
"Carol Brown","Network Administrator","(786) 994-1026","carolbrown6@yahoo.com","7683 NE 15th Street, Studio 464, Miami, FL 33138","Studio","4 bedroom house (~2200 sq ft)","One-time move-out cleaning","$300-$400","2025-04-26",67,No,"No previous cleaning service experience. Wants green/eco-friendly products."
"Lisa Adams","Bartender","(786) 743-1973","lisaadams69@icloud.com","2994 Miracle Mile, Condo 418, Miami, FL 33178","Condo","3 bedroom condo (~1500 sq ft)","Evening cleaning service preferred","$150-$200","2025-04-11",74,Yes,"Works from home as a Bartender. Mentioned they have children. Needs service ASAP. Wants green/eco-friendly products."
