Name,Job Title,Phone,Email,Address,Property Type,Property Size,Cleaning Need,Budget,Inquiry Date,Lead Score,Hot Lead,Notes
"Christopher Robinson","Principal","(813) 536-7192","christopherrobinson31@hotmail.com","3822 Bruce B Downs Boulevard, Studio 210, Tampa, Florida 33616","Studio","4+ bedroom house (2500+ sq ft)","Same-day emergency cleaning","$150-$200","2025-05-04",4,No,"Previous cleaning service was unsatisfactory. References available. Worried about price. Wants green/eco-friendly products."
"Deborah Miller","Barista","(727) 838-9763","deborahmiller29@icloud.com","6866 Waters Avenue, Condo 400, Tampa, Florida 33619","Condo","4 bedroom house (~2200 sq ft)","Same-day emergency cleaning","$200-$250","2025-05-03",7,No,"Mentioned they have children. Wants green/eco-friendly products. Works long hours due to Barista responsibilities."
"Dorothy Hall","Independent Consultant","(813) 297-9768","dorothyhall0@yahoo.com","6698 Fowler Avenue, Townhouse 141, Tampa, Florida 33615","Townhouse","2 bedroom house (~1200 sq ft)","Bi-weekly cleaning service","Under $100","2025-04-30",96,Yes,"Previous cleaning service was unsatisfactory. Dorothy is a Independent Consultant looking for bi-weekly cleaning service. Flexible schedule."
"Christopher Lopez","Artist","(813) 506-6300","christopherlopez38@gmail.com","5937 Armenia Avenue, Condo 126, Tampa, Florida 33620","Condo","3 bedroom house (~1800 sq ft)","Regular weekly cleaning","$200-$250","2025-04-11",77,Yes,"Prefers weekends. Has allergies, needs special products. Booking for a family member/elderly parent."
"Anthony Robinson","Machinist","(727) 749-7681","anthonyrobinson48@hotmail.com","1628 Dale Mabry Highway, Townhouse 6, Tampa, Florida 33637","Townhouse","2 bedroom house (~1200 sq ft)","Monthly deep cleaning","$250-$300","2025-05-04",20,No,"Anthony is a Machinist looking for monthly deep cleaning. Worried about price. Has allergies, needs special products. Has pets (dogs)."
"Mark Flores","Real Estate Agent","(727) 612-8241","markflores13@yahoo.com","2838 Waters Avenue, Apartment 361, Tampa, Florida 33611","Apartment","Studio apartment (~500 sq ft)","Same-day emergency cleaning","Under $100","2025-05-09",46,No,"Prefers weekends. Worried about price."
"Kenneth Moore","Volunteer","(727) 125-3222","kennethmoore71@outlook.com","9556 Dale Mabry Highway, Studio 69, Tampa, Florida 33612","Studio","3 bedroom condo (~1500 sq ft)","Bi-weekly cleaning service","$100-$150","2025-05-05",55,No,"Found us through Google search. Recently renovated, needs deep cleaning."
"Jennifer Parker","Mobile App Developer","(727) 843-2574","jenniferparker55@outlook.com","9759 Bayshore Boulevard, Tampa, Florida 33603","House","Studio apartment (~500 sq ft)","Weekend cleaning","$300-$400","2025-04-19",86,Yes,"Prefers weekends. Has a house in Tampa. Specific areas need extra attention. Very particular about cleaning standards."
"Michelle Mitchell","Server","(727) 445-5796","michellemitchell45@aol.com","1375 Kennedy Boulevard, Studio 323, Tampa, Florida 33603","Studio","2 bedroom apartment (~1000 sq ft)","Weekend cleaning","$250-$300","2025-04-22",23,No,"References available. Referred by another customer."
"William Ramirez","Office Administrator","(813) 107-7959","williamramirez36@aol.com","4274 Armenia Avenue, Townhouse 321, Tampa, Florida 33606","Townhouse","1 bedroom apartment (~750 sq ft)","One-time move-in cleaning","$300-$400","2025-04-29",93,Yes,"Works from home as a Office Administrator. Prefers weekends."
"Mark Lopez","Plumber","(727) 902-3548","marklopez34@outlook.com","5928 Columbus Drive, Townhouse 321, Tampa, Florida 33629","Townhouse","3 bedroom condo (~1500 sq ft)","Monthly deep cleaning","Under $100","2025-04-21",88,Yes,"Previous cleaning service was unsatisfactory. Needs service ASAP. Worried about price. Recently renovated, needs deep cleaning."
"Robert Brown","Teacher","(813) 594-2939","robertbrown40@outlook.com","5420 Waters Avenue, Tampa, Florida 33612","House","2 bedroom apartment (~1000 sq ft)","Monthly deep cleaning","Under $100","2025-04-11",46,No,"Previous cleaning service was unsatisfactory. Specific areas need extra attention."
"Mark Adams","Curriculum Specialist","(813) 455-7875","markadams64@gmail.com","5001 Busch Boulevard, Apartment 19, Tampa, Florida 33604","Apartment","Studio apartment (~500 sq ft)","Weekend cleaning","$250-$300","2025-05-01",71,Yes,"Has allergies, needs special products. Booking for a family member/elderly parent. Mentioned they have children."
"Betty Harris","Pharmacy Technician","(813) 148-7830","bettyharris99@gmail.com","8381 Himes Avenue, Condo 419, Tampa, Florida 33610","Condo","4 bedroom house (~2200 sq ft)","Post-renovation cleaning","$200-$250","2025-04-13",94,Yes,"References available. Needs service ASAP."
"Amanda Carter","School Psychologist","(727) 935-8721","amandacarter79@icloud.com","5968 Columbus Drive, Apartment 382, Tampa, Florida 33635","Apartment","3 bedroom house (~1800 sq ft)","Regular weekly cleaning","$250-$300","2025-05-08",55,No,"Booking for a family member/elderly parent. Specific areas need extra attention."
"William Phillips","Scheduling Coordinator","(727) 918-6019","williamphillips21@icloud.com","7346 Florida Avenue, Townhouse 246, Tampa, Florida 33603","Townhouse","Studio apartment (~500 sq ft)","Regular weekly cleaning","Under $100","2025-04-28",39,No,"Previous cleaning service was unsatisfactory. Found us through Google search."
"Daniel Hernandez","Electrician","(727) 439-2869","danielhernandez91@gmail.com","8920 Howard Avenue, Tampa, Florida 33626","House","2 bedroom house (~1200 sq ft)","Regular weekly cleaning","$300-$400","2025-04-26",50,No,"Recently renovated, needs deep cleaning. Wants green/eco-friendly products. Has a house in Tampa. References available."
"Timothy Davis","Graduate Student","(813) 454-4373","timothydavis78@aol.com","1294 Bruce B Downs Boulevard, Condo 483, Tampa, Florida 33635","Condo","4+ bedroom house (2500+ sq ft)","Same-day emergency cleaning","$150-$200","2025-05-06",32,No,"References available. Previous cleaning service was unsatisfactory."
"Daniel Mitchell","Office Manager","(813) 304-2185","danielmitchell94@gmail.com","4220 Westshore Boulevard, Condo 272, Tampa, Florida 33603","Condo","4 bedroom house (~2200 sq ft)","Monthly deep cleaning","$150-$200","2025-04-29",59,No,"Prospect is a Office Manager looking for monthly deep cleaning. Mentioned they have children."
"Sharon Moore","Retired Military","(727) 562-2651","sharonmoore37@icloud.com","7709 Armenia Avenue, Studio 229, Tampa, Florida 33635","Studio","3 bedroom house (~1800 sq ft)","Bi-weekly cleaning service","$300-$400","2025-04-26",55,No,"Needs service ASAP. Booking for a family member/elderly parent. Recently renovated, needs deep cleaning. Sharon is a Retired Military looking for bi-weekly cleaning service."
"Michelle Mitchell","Data Entry Clerk","(727) 709-1666","michellemitchell69@icloud.com","5421 Tampa Street, Studio 496, Tampa, Florida 33615","Studio","4+ bedroom house (2500+ sq ft)","Weekend cleaning","$250-$300","2025-04-13",35,No,"Recently renovated, needs deep cleaning. Wants green/eco-friendly products."
"Joshua Garcia","Data Scientist","(727) 749-3701","joshuagarcia72@gmail.com","2078 Hillsborough Avenue, Studio 228, Tampa, Florida 33617","Studio","Studio apartment (~500 sq ft)","Weekend cleaning","$150-$200","2025-05-01",69,No,"Has a studio in Tampa. Referred by another customer. Specific areas need extra attention."
"Mary Hill","Retired Law Enforcement","(813) 188-9954","maryhill23@icloud.com","2209 Bayshore Boulevard, Studio 140, Tampa, Florida 33635","Studio","1 bedroom apartment (~750 sq ft)","Bi-weekly cleaning service","$400+","2025-05-02",21,No,"Needs service ASAP. No previous cleaning service experience."
"Timothy Clark","Personal Assistant","(813) 971-7335","timothyclark49@aol.com","1845 Hillsborough Avenue, Studio 475, Tampa, Florida 33626","Studio","Studio apartment (~500 sq ft)","Same-day emergency cleaning","$200-$250","2025-04-21",46,No,"Recently renovated, needs deep cleaning. Works from home as a Personal Assistant. Has allergies, needs special products. No previous cleaning service experience."
"Jessica Ramirez","Clinical Psychologist","(813) 745-7387","jessicaramirez7@outlook.com","8511 Florida Avenue, Apartment 172, Tampa, Florida 33603","Apartment","1 bedroom apartment (~750 sq ft)","Post-renovation cleaning","Under $100","2025-04-23",79,Yes,"Booking for a family member/elderly parent."
